tagId,timestamp,dateTime,loc(x),loc(y),loc(z),yaw,roll,pitch,acc(x),acc(y),acc(z),gyro,magnetic,label
26651,1650215268.393,"19:07:48,393000",3121,4974,858,0.016,0.063,-0.003,53,0,954,"{'x': 0.25, 'y': -0.0625, 'z': 0}","{'x': 0.375, 'y': 7.5625, 'z': -15.1875}",2
26651,1650215268.571,"19:07:48,571000",3120,4972,862,0.016,0.063,-0.003,54,1,955,"{'x': -0.1875, 'y': 0.1875, 'z': -0.0625}","{'x': 1.875, 'y': 7.5625, 'z': -15.1875}",2
26660,1650215268.647,"19:07:48,647000",1128,4461,1427,0.694,0.073,-0.065,-12,130,827,"{'x': -12.5625, 'y': 4.9375, 'z': 9.75}","{'x': -11.6875, 'y': 14.5625, 'z': -40.25}",2
26651,1650215268.73,"19:07:48,730000",3125,4975,872,0.016,0.063,-0.003,56,1,953,"{'x': 0.25, 'y': -0.1875, 'z': -0.0625}","{'x': 0.75, 'y': 6.75, 'z': -15.1875}",2
26660,1650215268.8,"19:07:48,800000",1196,4368,1435,0.634,0.058,-0.062,16,96,1102,"{'x': 15.25, 'y': 14.125, 'z': 27.125}","{'x': -10.5625, 'y': 15, 'z': -39.875}",2
26651,1650215268.886,"19:07:48,886000",3132,4975,894,0.016,0.063,-0.003,53,2,952,"{'x': -0.0625, 'y': 0.0625, 'z': 0}","{'x': 1.1875, 'y': 7.1875, 'z': -15.5625}",2
26660,1650215268.971,"19:07:48,971000",1293,4268,1433,0.528,0.075,-0.036,12,-71,1046,"{'x': 50.4375, 'y': -6.6875, 'z': 42.25}","{'x': -9.0625, 'y': 16.75, 'z': -39.875}",2
26651,1650215269.063,"19:07:49,063000",3134,4975,890,0.016,0.063,-0.003,58,1,956,"{'x': -0.4375, 'y': 0.25, 'z': 0.0625}","{'x': 0.75, 'y': 6.75, 'z': -15.1875}",2
26660,1650215269.124,"19:07:49,124000",1445,4167,1398,0.398,0.071,-0.064,-80,24,1000,"{'x': -3.625, 'y': -5.375, 'z': 56.1875}","{'x': -6.5, 'y': 16.5, 'z': -41.5}",2
26651,1650215269.21,"19:07:49,210000",3133,4975,891,0.016,0.063,-0.003,56,2,955,"{'x': 0.125, 'y': -0.3125, 'z': -0.125}","{'x': 1.1875, 'y': 7.1875, 'z': -15.1875}",2
26660,1650215269.294,"19:07:49,294000",1562,4083,1400,0.274,0.075,-0.048,13,62,1028,"{'x': -9.375, 'y': -5.375, 'z': 35.4375}","{'x': -5.375, 'y': 16.75, 'z': -41.875}",2
26651,1650215269.372,"19:07:49,372000",3137,4976,922,0.016,0.063,-0.003,55,0,953,"{'x': 0, 'y': 0.0625, 'z': -0.125}","{'x': 0, 'y': 7.5625, 'z': -15.1875}",2
26660,1650215269.451,"19:07:49,451000",1671,4006,1400,0.208,0.105,-0.055,79,18,1067,"{'x': -23.125, 'y': 0.9375, 'z': 5.5625}","{'x': -4.25, 'y': 18, 'z': -41.375}",2
26651,1650215269.55,"19:07:49,550000",3137,4974,924,0.016,0.063,-0.003,58,0,956,"{'x': 0.125, 'y': -0.1875, 'z': 0}","{'x': 0.75, 'y': 7.5625, 'z': -14.375}",2
26660,1650215269.628,"19:07:49,628000",1784,3937,1409,0.158,0.095,-0.039,-4,-11,1025,"{'x': -27.3125, 'y': 10.875, 'z': 21.75}","{'x': -4.5625, 'y': 17.5625, 'z': -40.6875}",2
26651,1650215269.71,"19:07:49,710000",3147,4975,943,0.016,0.063,-0.003,56,1,956,"{'x': 0.3125, 'y': -0.0625, 'z': 0.125}","{'x': 0.75, 'y': 7.1875, 'z': -14.75}",2
26660,1650215269.781,"19:07:49,781000",1896,3872,1411,0.101,0.085,-0.061,44,120,872,"{'x': -3.3125, 'y': 6.4375, 'z': 18.125}","{'x': -2.375, 'y': 17.875, 'z': -41.5}",2
26651,1650215269.866,"19:07:49,866000",3152,4973,944,0.016,0.063,-0.003,57,1,956,"{'x': -0.25, 'y': 0.25, 'z': -0.0625}","{'x': 1.1875, 'y': 7.875, 'z': -15.5625}",2
26660,1650215269.94,"19:07:49,940000",2008,3814,1408,0.024,0.094,-0.061,72,-2,1106,"{'x': 6.375, 'y': -2.25, 'z': 32.3125}","{'x': -1.25, 'y': 17.875, 'z': -40.375}",2
26651,1650215270.021,"19:07:50,021000",3155,4974,945,0.016,0.063,-0.003,56,2,954,"{'x': 0.1875, 'y': -0.125, 'z': 0.125}","{'x': 1.1875, 'y': 7.1875, 'z': -16.75}",2
26660,1650215270.104,"19:07:50,104000",2110,3768,1412,6.221,0.088,-0.055,-24,-133,1152,"{'x': -38.0625, 'y': -2.9375, 'z': 34.5}","{'x': -0.1875, 'y': 14.875, 'z': -40.6875}",2
